Took over 10 hours and was still working ... 
Unstable results


nrounds = 800.0000	eta = 0.2181	max_depth = 6.0000	gamma = 0.0000	Value = -0.8807


nrounds = 746.5130	eta = 0.2058	max_depth = 5.0000	gamma = 3.6674	Value = -0.9625 
Gave LB Score of


nrounds = 372.6622	eta = 0.2842	max_depth = 6.0000	gamma = 0.0000	Value = -0.9136 


nrounds = 50.0000	eta = 0.5137	max_depth = 6.0000	gamma = 0.0000	Value = -0.9639 





opt_res <- BayesianOptimization(opt_fn
                                ,bounds = list(
                                    nrounds = c(50,800)
                                    ,eta = c(0.001,0.7)
                                    ,max_depth = c(2L,6L)
                                    ,gamma = c(0,50)
                               )
                                ,init_grid_dt = NULL
                                ,init_points = 10
                                ,n_iter = 200
                                ,acq = "ucb"
                                ,kappa = 2.576
                                ,eps = 0.0
                                ,verbose = TRUE)

elapsed = 866.90	Round = 42	nrounds = 800.0000	eta = 0.0010	max_depth = 6.0000	gamma = 0.0000	Value = -3.4035 
elapsed = 540.85	Round = 43	nrounds = 500.8898	eta = 0.7000	max_depth = 6.0000	gamma = 0.0000	Value = -0.8343 
elapsed = 87.92	Round = 44	nrounds = 202.2807	eta = 0.1920	max_depth = 2.0000	gamma = 0.0000	Value = -0.9876 
elapsed = 238.12	Round = 45	nrounds = 546.5426	eta = 0.6532	max_depth = 2.0000	gamma = 0.0000	Value = -0.9771 
elapsed = 869.21	Round = 46	nrounds = 800.0000	eta = 0.5366	max_depth = 6.0000	gamma = 0.0000	Value = -0.8025 
elapsed = 401.97	Round = 47	nrounds = 372.6622	eta = 0.2842	max_depth = 6.0000	gamma = 0.0000	Value = -0.9136 
elapsed = 217.23	Round = 48	nrounds = 501.9935	eta = 0.1123	max_depth = 2.0000	gamma = 0.0000	Value = -0.9857 
elapsed = 107.02	Round = 49	nrounds = 800.0000	eta = 0.4400	max_depth = 2.0000	gamma = 3.7798	Value = -0.9828 
elapsed = 228.06	Round = 50	nrounds = 800.0000	eta = 0.0691	max_depth = 6.0000	gamma = 13.5935	Value = -0.9782 
elapsed = 94.31	Round = 51	nrounds = 800.0000	eta = 0.5758	max_depth = 5.0000	gamma = 8.5407	Value = -0.9696 
elapsed = 212.65	Round = 52	nrounds = 478.3299	eta = 0.4190	max_depth = 2.0000	gamma = 0.0000	Value = -0.9795 
